,obs_id,object_id,object_name,object_name_2MASS,object_name_HIP,object_name_HR,object_name_TYC,object_name_SAO,folder,date_obs,obs_start,obs_end,infrared_filter,irdis_dual_filter,tel_ambi_fwhm_mean,tel_tau0_mean,tel_ambi_windsp,windSpeed_200_asm,seeing_sparta_min,seeing_sparta_max,seeing_sparta_avg,seeing_tel_ia_fwhmlinobs,seeing_tel_ia_fwhmlin,seeing_tel_ia_fwhm,seeing_ambi_fwhm,mass_turbfwhm_asm,mass_fwhm_asm,dimm_fwhm_asm,historical_ambient_fwhm_asm,mass_tau0_asm,mass_tau_asm,historical_ambient_tau_asm,mass_tau0_ms_asm,mass_tau_ms_asm,historical_ambient_tau_ms_asm,tel_ambi_tau0,strehl_sparta_avg,strehl_sparta_max,strehl_sparta_min,flux_K,flux_H,flux_R,flux_G,NAXIS1,n_frames,rot_max,mtime,missing_psf,split,status_obs,comment,found,waffle_amplitude,is_lwe,category,seeing_final,tau_final,analytical_strehl,obs_category,analytical_strehl2,obs_category2,obs_category3,valid_frames
76,HD_14228__2017-09-01__08-36-51,HD_14228,HIP 10602,,HIP_10602,HR_674,TYC_8055-1270-1,SAO_232696,HIP 10602_DB_K12_2017-08-31_ird_convert_recenter_dc2022_COBREX_332136,2017-09-01T08:36:51.72,2017-09-01T08:12:14.49,2017-09-01T09:01:28.81,DB_K12,B_Ks,0.61,3.8,4.3,32.8428,0.3104,0.6013,0.4215,0.93,0.87,0.81,1.0,0.697,0.3937,0.6119,,0.0038,0.0042,,3.7921,4.1846,,3.9,0.893,0.9184,0.8599,3.86,3.82,3.64,3.556,296,296,-24.1958,2022-06-24_23-03-04,0,train,0.0,interactive,,0.05,0,2,0.6119,3.7921,0.9122,2,0.9632,2,2,281.0
77,HD_142705__2015-05-09__04-57-46,HD_142705,HIP_78099,,HIP_78099,,TYC_6779-760-1,SAO_183958,HIP 78099_DB_H23_2015-05-08_ird_convert_recenter_dc2022_COBREX_332685,2015-05-09T04:57:46.68,2015-05-09T04:36:05.77,2015-05-09T05:12:57.15,DB_H23,B_H,0.75,2.3,7.95,43.8448,-1.0,-1.0,-1.0,0.96,0.96,0.89,1.0,,,,0.747,,,0.0023,,,2.3251,2.2,-1.0,-1.0,-1.0,7.183,7.278,,7.7088,26,26,8.5918,2022-06-25_03-49-01,0,train,0.0,interactive,,0.03,0,1,0.747,2.3251,0.8294,2,0.8861,1,1,25.0
78,HD_142851__2015-06-03__04-11-46,HD_142851,HIP_78196,,HIP_78196,,TYC_7329-908-1,SAO_207168,HIP 78196_DB_H23_2015-06-02_ird_convert_recenter_dc2022_COBREX_332932,2015-06-03T04:11:46.36,2015-06-03T03:36:38.78,2015-06-03T04:46:53.87,DB_H23,B_H,1.03,4.4,7.68,15.2738,0.3167,0.6762,0.4468,0.84,0.84,0.79,1.0,,,,1.0305,,,0.0044,,,4.428,3.2,0.8998,0.9266,0.8626,7.032,7.12,,7.0241,64,64,-91.8449,2022-06-25_05-07-12,0,train,0.0,interactive,,0.03,0,1,1.0305,4.428,0.8209,2,0.8951,2,1,64.0
79,HD_143488__2015-05-09__06-23-56,HD_143488,HIP_78541,,HIP_78541,,TYC_7341-1092-1,SAO_207246,HIP 78541_DB_H23_2015-05-08_ird_convert_recenter_dc2022_COBREX_332686,2015-05-09T06:23:56.15,2015-05-09T05:57:18.01,2015-05-09T06:50:34.19,DB_H23,B_H,0.9,1.9,8.13,44.9719,-1.0,-1.0,-1.0,1.0,0.97,0.91,1.0,,,,0.8956,,,0.0019,,,1.8967,1.9,-1.0,-1.0,-1.0,6.967,7.009,,6.9856,48,48,-36.434,2022-06-25_03-49-33,0,train,0.0,interactive,,0.04,0,1,0.8956,1.8967,0.7997,2,0.8965,2,1,47.0
80,HD_143488__2015-05-19__06-12-06,HD_143488,HIP78541,,HIP_78541,,TYC_7341-1092-1,SAO_207246,HIP 78541_DB_K12_2015-05-18_ird_convert_recenter_dc2022_COBREX_waffles_only_332854,2015-05-19T06:12:06.05,2015-05-19T05:55:29.43,2015-05-19T06:28:42.68,DB_K12,B_Ks,1.02,4.1,5.75,18.9035,-1.0,-1.0,-1.0,1.03,0.99,0.93,1.2,,,,0.9539,,,0.0042,,,4.1808,4.9,-1.0,-1.0,-1.0,6.967,7.009,,6.9856,4,4,-14.9909,2022-06-25_04-40-51,1,,,,,0.05,0,1,0.9539,4.1808,0.8357,2,0.9035,2,2,3.0
81,HD_143488__2016-06-11__03-31-24,HD_143488,HIP_78541,,HIP_78541,,TYC_7341-1092-1,SAO_207246,HIP 78541_DB_H23_2016-06-10_ird_convert_recenter_dc2022_COBREX_332616,2016-06-11T03:31:24.47,2016-06-11T02:55:48.11,2016-06-11T04:06:58.49,DB_H23,B_H,0.76,3.1,3.38,52.7455,-1.0,-1.0,-1.0,1.02,1.0,0.93,1.0,0.8075,0.5613,0.7511,,0.003,0.0031,,3.0242,3.1082,,5.6,-1.0,-1.0,-1.0,6.967,7.009,,6.9856,65,65,-67.9741,2022-06-25_03-37-37,0,train,0.0,interactive,,0.04,0,2,0.7511,3.0242,0.8615,2,0.9189,2,1,53.0
82,HD_143567__2015-05-04__06-05-18,HD_143567,HIP_78530,,HIP_78530,,TYC_6212-1713-1,SAO_184043,HIP 78530_DB_H23_2015-05-03_ird_convert_recenter_dc2022_COBREX_332594,2015-05-04T06:05:18.54,2015-05-04T05:16:32.26,2015-05-04T06:52:03.68,DB_H23,B_H,0.65,2.3,4.22,53.3408,-1.0,-1.0,-1.0,0.83,0.83,0.77,1.4,,,,0.6433,,,0.0023,,,2.3022,2.7,-1.0,-1.0,-1.0,6.903,6.946,7.87,7.1624,60,60,147.9516,2022-06-25_03-31-32,0,train,0.0,interactive,,0.03,0,1,0.6433,2.3022,0.8405,2,0.8847,1,1,40.0
83,HD_143637__2015-06-01__04-01-40,HD_143637,HD_143637,,HIP_78581,,TYC_7329-1646-1,SAO_207263,HIP 78581_DB_H23_2015-05-31_ird_convert_recenter_dc2022_COBREX_330153,2015-06-01T04:01:40.05,2015-06-01T03:26:33.37,2015-06-01T04:36:47.91,DB_H23,B_H,1.18,1.2,3.28,56.7442,0.4076,1.1736,0.6151,1.15,1.14,1.13,1.0,,,,1.1496,,,0.0012,,,1.1902,1.0,0.5346,0.6804,0.2538,7.562,7.636,,8.929,64,64,-106.1448,2022-06-16_16-27-03,0,calib,0.0,interactive,not found,0.04,0,1,1.1496,1.1902,0.3949,0,0.7114,0,0,36.0
84,HD_143637__2015-06-04__03-02-47,HD_143637,HIP_78581,,HIP_78581,,TYC_7329-1646-1,SAO_207263,HIP 78581_DB_H23_2015-06-03_ird_convert_recenter_dc2022_COBREX_330593,2015-06-04T03:02:47.15,2015-06-04T02:22:47.11,2015-06-04T04:22:30.39,DB_H23,B_H,1.04,2.8,8.3,26.3549,0.3062,0.9982,0.5103,1.0,0.98,0.9,1.0,,,,1.1343,,,0.0028,,,2.7906,3.1,0.8122,0.8549,0.7058,7.562,7.636,,8.929,68,68,-123.564,2022-06-17_17-49-55,0,train,0.0,interactive,,0.03,0,1,1.1343,2.7906,0.6684,1,0.8092,1,1,46.0
85,HD_143637__2015-06-04__05-01-24,HD_143637,HIP_78581,,HIP_78581,,TYC_7329-1646-1,SAO_207263,HIP 78581_DB_K12_2015-06-03_ird_convert_recenter_dc2022_COBREX_330594,2015-06-04T05:01:24.26,2015-06-04T04:26:14.61,2015-06-04T05:36:31.92,DB_K12,B_Ks,1.2,2.6,8.48,25.6347,0.3221,0.7232,0.4547,0.84,0.82,0.76,1.0,,,,1.1879,,,0.0027,,,2.6714,2.5,0.8145,0.8504,0.7429,7.562,7.636,,8.929,64,64,-31.3424,2022-06-17_17-49-30,0,train,0.0,interactive,,0.05,0,1,1.1879,2.6714,0.6504,1,0.8013,0,1,58.0
86,HD_143637__2017-03-20__08-45-00,HD_143637,HIP_78581,,HIP_78581,,TYC_7329-1646-1,SAO_207263,HIP 78581_DB_H23_2017-03-19_ird_convert_recenter_dc2022_COBREX_waffles_only_335348,2017-03-20T08:45:00.91,2017-03-20T08:02:04.72,2017-03-20T09:25:54.49,DB_H23,B_H,0.77,4.5,4.65,31.7377,0.2917,0.9985,0.4411,0.94,0.93,0.87,1.4,,,0.8006,,,,,,,,3.1,0.7815,0.8165,0.6603,7.562,7.636,,8.929,67,67,-115.9709,2022-06-25_19-14-28,0,train,0.0,interactive,,0.04,0,2,0.8006,4.5,0.7945,1,0.8583,1,2,55.0
87,HD_1466__2015-10-26__03-01-44,HD_1466,HIP1481,,HIP_1481,,TYC_8843-1330-1,SAO_248159,HIP 1481_DB_H23_2015-10-25_ird_convert_recenter_dc2022_COBREX_330596,2015-10-26T03:01:44.41,2015-10-26T02:26:35.35,2015-10-26T03:36:52.06,DB_H23,B_H,1.07,1.4,1.77,49.8784,0.4586,1.3992,0.6814,1.32,1.13,1.05,1.4,,,,1.1671,,,0.0015,,,1.5273,1.1,0.6198,0.7273,0.3646,6.149,6.248,,7.3392,64,64,-24.9978,2022-06-17_17-50-27,0,train,0.0,interactive,,0.05,1,0,1.1671,1.5273,0.7156,0,0.8506,-1,-1,37.0
88,HD_1466__2016-09-18__05-32-12,HD_1466,HIP_1481,,HIP_1481,,TYC_8843-1330-1,SAO_248159,HIP 1481_DB_H23_2016-09-17_ird_convert_recenter_dc2022_COBREX_330641,2016-09-18T05:32:12.81,2016-09-18T04:48:27.35,2016-09-18T06:15:59.34,DB_H23,B_H,0.8,4.9,10.23,8.2899,-1.0,-1.0,-1.0,1.36,1.16,1.07,1.0,0.8079,0.5865,0.7942,,0.0049,0.0098,,4.941,9.7616,,6.0,-1.0,-1.0,-1.0,6.149,6.248,,7.3392,80,80,-31.0696,2022-06-17_18-17-52,0,train,0.0,interactive,,0.03,0,2,0.7942,4.941,0.8646,2,0.9078,2,2,73.0
89,HD_147553__2015-05-30__05-02-09,HD_147553,HIP80324,,HIP_80324,HR_6097,,,HIP 80324_DB_H23_2015-05-29_ird_convert_recenter_dc2022_COBREX_332869,2015-05-30T05:02:09.17,2015-05-30T04:18:28.02,2015-05-30T05:40:23.73,DB_H23,B_H,0.72,1.8,7.68,58.42,0.2588,0.6388,0.3428,0.78,0.77,0.71,1.0,,,,0.7327,,,0.0018,,,1.8215,1.6,0.7765,0.8325,0.556,,,,,136,136,-88.8515,2022-06-25_04-48-19,0,train,0.0,interactive,,0.03,0,1,0.7327,1.8215,0.8405,2,0.9409,2,1,114.0
90,HD_147553__2016-03-28__08-37-36,HD_147553,HIP_80324,,HIP_80324,HR_6097,,,HIP 80324_DB_H23_2016-03-27_ird_convert_recenter_dc2022_COBREX_waffles_only_332292,2016-03-28T08:37:36.27,2016-03-28T08:10:47.61,2016-03-28T09:04:23.53,DB_H23,B_H,3.26,0.8,11.63,13.4854,1.2185,2.2548,1.6574,2.02,2.0,1.72,1.4,,,,3.2508,,,0.0008,,,0.7826,0.8,0.4928,0.6087,0.3812,,,,,45,45,-70.3199,2022-06-25_00-07-28,0,train,0.0,interactive,,0.03,0,0,3.2508,0.7826,0.2431,0,0.5671,0,0,40.0
91,HD_147553__2016-04-17__07-54-03,HD_147553,HIP_80324,,HIP_80324,HR_6097,,,HIP 80324_DB_H23_2016-04-16_ird_convert_recenter_dc2022_COBREX_waffles_only_330195,2016-04-17T07:54:03.84,2016-04-17T07:11:34.85,2016-04-17T08:36:32.83,DB_H23,B_H,1.82,1.4,13.57,48.6769,0.5793,1.5987,0.9933,1.29,1.27,1.2,1.0,1.5158,0.8199,1.8061,,0.0015,0.0031,,1.5212,3.1155,,1.3,0.5945,0.7193,0.4581,,,,,78,78,-83.144,2022-06-16_17-01-16,1,,,,not found,0.03,0,0,1.8061,1.5212,0.5972,1,0.8112,1,0,
92,HD_147553__2018-06-18__03-58-47,HD_147553,HIP_80324,,HIP_80324,HR_6097,,,HD 147553A_DB_H23_2018-06-17_ird_convert_recenter_dc2022_COBREX_waffles_only_333549,2018-06-18T03:58:47.43,2018-06-18T03:25:12.13,2018-06-18T04:32:21.87,DB_H23,B_H,3.38,1.0,16.9,9.2176,1.0358,2.2031,1.7897,3.11,3.05,1.66,1.0,3.0533,2.482,3.1707,,,0.0015,,,1.466,,1.0,0.4066,0.7081,0.3365,,,,,40,40,-59.2457,2022-06-25_08-07-17,0,train,0.0,interactive,,0.1,0,0,3.1707,1.0,0.2851,0,0.5949,0,0,31.0
93,HD_148055__2015-04-05__07-36-58,HD_148055,HIP80591,,HIP_80591,,TYC_7857-394-1,SAO_207673,HIP 80591_DB_K12_2015-04-04_ird_convert_recenter_dc2022_COBREX_332553,2015-04-05T07:36:58.86,2015-04-05T07:12:19.01,2015-04-05T08:01:32.83,DB_K12,B_Ks,1.08,2.0,1.68,33.2696,-1.0,-1.0,-1.0,0.89,0.87,0.82,1.2,,,,1.1547,,,0.002,,,2.0082,2.2,-1.0,-1.0,-1.0,7.831,7.856,,8.2943,320,320,-33.4133,2022-06-25_03-22-40,0,,1.0,interactive,,0.05,1,0,1.1547,2.0082,0.6023,0,0.8147,-1,-1,153.0
94,HD_148055__2016-03-29__08-59-17,HD_148055,HIP_80591,,HIP_80591,,TYC_7857-394-1,SAO_207673,HIP 80591_DB_H23_2016-03-28_ird_convert_recenter_dc2022_COBREX_332314,2016-03-29T08:59:17.14,2016-03-29T08:24:08.40,2016-03-29T09:34:25.32,DB_H23,B_H,1.67,1.4,11.88,18.7007,0.4724,1.2701,0.8294,1.22,1.19,1.12,1.0,,,,1.6732,,,0.0014,,,1.3762,1.2,0.6082,0.798,0.5124,7.831,7.856,,8.2943,64,64,-54.2841,2022-06-25_00-23-28,0,train,0.0,interactive,,0.03,0,0,1.6732,1.3762,0.3975,0,0.7118,0,0,41.0
95,HD_15115__2015-10-26__04-40-45,HD_15115,HIP11360,,HIP_11360,,TYC_45-990-1,SAO_110532,HIP 11360_DB_H23_2015-10-25_ird_convert_recenter_dc2022_COBREX_330597,2015-10-26T04:40:45.65,2015-10-26T04:05:37.82,2015-10-26T05:15:53.16,DB_H23,B_H,0.82,1.2,3.2,49.9029,0.3382,0.9617,0.5146,1.05,0.95,0.89,1.4,,,,1.0938,,,0.0015,,,1.5378,1.9,0.7461,0.8093,0.4509,5.822,5.86,,6.6945,64,64,29.6376,2022-06-17_17-50-28,0,calib,3.0,"edge-on disk, draw rectangular box 600 x 40 pix",,0.05,0,1,1.0938,1.5378,0.7399,1,0.8766,1,1,44.0
96,HD_151726__2016-04-01__09-11-13,HD_151726,HIP_82430,,HIP_82430,,TYC_7868-1175-1,SAO_208083,HIP 82430_DB_H23_2016-03-31_ird_convert_recenter_dc2022_COBREX_332352,2016-04-01T09:11:13.85,2016-04-01T08:24:52.01,2016-04-01T10:04:53.12,DB_H23,B_H,1.06,1.8,6.0,31.5162,0.2889,0.7584,0.4029,0.84,0.82,0.76,1.0,,,,1.0226,,,0.0019,,,1.8765,2.4,0.7841,0.828,0.7251,7.261,7.261,,7.224,80,80,-78.546,2022-06-25_00-33-49,0,train,0.0,interactive,,0.03,0,1,1.0226,1.8765,0.7706,1,0.8765,1,1,69.0
97,HD_151726__2017-05-18__06-18-50,HD_151726,HIP_82430,,HIP_82430,,TYC_7868-1175-1,SAO_208083,HIP 82430_DB_H23_2017-05-17_ird_convert_recenter_dc2022_COBREX_waffles_only_330651,2017-05-18T06:18:50.91,2017-05-18T05:35:49.89,2017-05-18T06:59:20.17,DB_H23,B_H,0.92,2.5,11.6,65.1993,0.5439,1.2319,0.8052,1.19,1.17,1.1,1.0,,,0.9595,,,,,,,,2.3,0.6356,0.7207,0.5262,7.261,7.261,,7.224,68,68,-64.8128,2022-06-17_18-20-54,0,train,0.0,interactive,,0.05,0,1,0.9595,2.5,0.807,2,0.8893,1,1,62.0
98,HD_151798__2016-06-12__03-47-07,HD_151798,HIP_82388,,HIP_82388,,TYC_5637-61-1,SAO_160122,1RXS J165005.1-122315_DB_H23_2016-06-11_ird_convert_recenter_dc2022_COBREX_332666,2016-06-12T03:47:07.38,2016-06-12T03:11:57.76,2016-06-12T04:22:15.75,DB_H23,B_H,1.11,2.5,10.35,44.1007,-1.0,-1.0,-1.0,1.17,1.15,1.09,1.0,1.0864,0.8346,1.0902,,0.0024,0.0031,,2.4491,3.1237,,2.8,-1.0,-1.0,-1.0,6.48,6.599,,7.7858,64,64,58.9373,2022-06-25_03-45-53,0,val,0.0,interactive,,0.04,0,1,1.0902,2.4491,0.7664,1,0.8511,1,1,54.0
99,HD_152391__2015-06-05__05-03-34,HD_152391,V2292_OPH,,HIP_82588,,TYC_5051-1354-1,SAO_121921,HIP 82588_DB_H23_2015-06-04_ird_convert_recenter_dc2022_COBREX_332993,2015-06-05T05:03:34.47,2015-06-05T04:28:24.88,2015-06-05T05:38:42.52,DB_H23,B_H,1.66,1.4,14.05,26.5128,0.4932,0.9621,0.6642,1.23,1.15,1.07,1.0,,,,1.6597,,,0.0014,,,1.3983,1.5,0.827,0.8631,0.7397,4.835,4.942,,6.4405,64,64,35.0348,2022-06-25_05-16-55,0,train,0.0,interactive,,0.03,0,0,1.6597,1.3983,0.6115,1,0.8107,1,0,41.0
100,HD_156097__2016-06-28__03-39-05,HD_156097,TYC_7362_0724_1,,,,TYC_7362-724-1,SAO_208623,HD 156097_DB_H23_2016-06-27_ird_convert_recenter_dc2022_COBREX_328658,2016-06-28T03:39:05.43,2016-06-28T03:08:18.57,2016-06-28T04:09:50.34,DB_H23,B_H,1.52,1.8,15.68,28.3354,-1.0,-1.0,-1.0,1.37,1.37,1.28,1.0,1.2119,0.701,1.4479,,0.0019,0.0035,,1.909,3.4915,,2.1,-1.0,-1.0,-1.0,7.799,7.843,,9.3652,56,56,-94.1072,2022-06-10_20-12-32,0,,1.0,"missing reductions, but PACO, cADI finished + too many sources --> out",,0.05,0,0,1.4479,1.909,0.5127,0,0.7169,0,0,42.0
101,HD_159492__2016-06-11__05-40-25,HD_159492,HIP_86305,,HIP_86305,HR_6549,TYC_8733-2365-1,SAO_244896,HIP 86305_DB_H23_2016-06-10_ird_convert_recenter_dc2022_COBREX_332617,2016-06-11T05:40:25.79,2016-06-11T05:12:55.28,2016-06-11T06:13:31.58,DB_H23,B_H,0.62,3.2,3.2,53.4849,-1.0,-1.0,-1.0,1.22,1.11,1.06,1.0,0.6753,0.614,0.633,,0.0032,0.0032,,3.1773,3.2195,,3.3,-1.0,-1.0,-1.0,4.78,4.866,,5.2087,95,95,-25.9217,2022-06-25_03-38-11,0,train,0.0,interactive,,0.04,0,2,0.633,3.1773,0.8983,2,0.9548,2,2,65.0
102,HD_159911__2015-05-12__07-17-59,HD_159911,BD-13_4687,,,,TYC_5672-216-1,,HD 159911_DB_H23_2015-05-11_ird_convert_recenter_dc2022_COBREX_332783,2015-05-12T07:17:59.43,2015-05-12T06:42:37.22,2015-05-12T07:53:17.89,DB_H23,B_H,0.83,3.4,2.6,26.1925,-1.0,-1.0,-1.0,0.78,0.76,0.7,1.0,,,,0.8319,,,0.0036,,,3.572,2.7,-1.0,-1.0,-1.0,6.835,7.02,,9.5607,64,64,65.2939,2022-06-25_04-08-49,0,train,0.0,interactive,,0.04,1,0,0.8319,3.572,0.7313,0,0.7916,-1,-1,52.0
103,HD_159911__2016-04-16__09-34-10,HD_159911,BD-13_4687,,,,TYC_5672-216-1,,HD 159911_DB_H23_2016-04-15_ird_convert_recenter_dc2022_COBREX_waffles_only_332399,2016-04-16T09:34:10.46,2016-04-16T08:46:38.96,2016-04-16T10:26:06.10,DB_H23,B_H,0.54,4.8,7.45,41.2077,0.2214,0.6901,0.3629,0.88,0.84,0.76,0.8,0.6193,0.3123,0.5768,,0.0044,0.0061,,4.3726,6.1337,,6.8,0.7738,0.8151,0.7036,6.835,7.02,,9.5607,80,80,54.5905,2022-06-25_02-12-06,0,test,0.0,interactive,,0.03,0,2,0.5768,4.3726,0.7938,1,0.8161,1,2,68.0
104,HD_159911__2016-05-22__06-07-40,HD_159911,BD-13_4687,,,,TYC_5672-216-1,,HD 159911_DB_H23_2016-05-21_ird_convert_recenter_dc2022_COBREX_332467,2016-05-22T06:07:40.95,2016-05-22T05:29:21.99,2016-05-22T06:45:59.95,DB_H23,B_H,0.48,5.9,7.25,34.4977,0.263,0.4795,0.35,0.82,0.81,0.75,0.8,0.5202,0.3178,0.4826,,0.0058,0.0079,,5.8481,7.8858,,5.9,0.7509,0.7981,0.664,6.835,7.02,,9.5607,70,70,71.4837,2022-06-25_02-44-41,0,train,0.0,interactive,,0.03,0,2,0.4826,5.8481,0.8308,2,0.8278,1,2,67.0
105,HD_159911__2018-04-12__09-18-25,HD_159911,BD-13_4687,,,,TYC_5672-216-1,,HD 159911_DB_H23_2018-04-11_ird_convert_recenter_dc2022_COBREX_waffles_only_333282,2018-04-12T09:18:25.38,2018-04-12T08:36:38.20,2018-04-12T10:00:09.71,DB_H23,B_H,0.35,6.8,2.25,21.5875,0.2027,0.4078,0.2877,0.79,0.77,0.71,1.0,0.4398,0.2789,0.3501,,0.0069,0.0071,,6.9308,7.0584,,6.9,0.7794,0.8145,0.7449,6.835,7.02,,9.5607,50,50,72.7179,2022-06-25_07-22-42,0,train,0.0,interactive,,0.04,0,2,0.3501,6.9308,0.8564,2,0.8372,1,2,48.0
106,HD_160305__2015-05-13__07-26-52,HD_160305,HIP_86598,,HIP_86598,,TYC_8355-1885-1,SAO_244950,HIP 86598_DB_H23_2015-05-12_ird_convert_recenter_dc2022_COBREX_332819,2015-05-13T07:26:52.73,2015-05-13T06:51:31.59,2015-05-13T08:02:10.74,DB_H23,B_H,0.94,3.7,2.1,24.1759,-1.0,-1.0,-1.0,0.74,0.69,0.64,1.0,,,,0.9341,,,0.0037,,,3.6696,4.5,-1.0,-1.0,-1.0,6.992,7.092,,8.1954,64,64,-34.604,2022-06-25_04-22-00,0,val,0.0,interactive,,0.04,1,0,0.9341,3.6696,0.7669,0,0.8775,-1,-1,64.0
107,HD_160305__2016-05-23__06-09-39,HD_160305,HIP_86598,,HIP_86598,,TYC_8355-1885-1,SAO_244950,HIP 86598_BB_H_2016-05-22_ird_convert_recenter_dc2022_COBREX_waffles_only_328494,2016-05-23T06:09:39.11,2016-05-23T05:21:49.70,2016-05-23T06:57:28.52,BB_H,B_H,0.53,5.8,8.4,32.5144,0.2753,0.8826,0.4649,1.02,0.95,0.9,1.0,0.605,0.2509,0.5859,,0.0057,0.0109,,5.7404,10.8992,,6.3,0.6775,0.8722,0.5948,6.992,7.092,,8.1954,4,4,-47.4524,2022-06-10_15-54-36,1,,,,,0.03,0,2,0.5859,5.7404,0.8713,2,0.9189,2,2,4.0
108,HD_164249__2015-06-01__05-54-21,HD_164249,HD_164249A,,HIP_88399,,TYC_8369-1619-1,SAO_245201,HIP 88399_DB_H23_2015-05-31_ird_convert_recenter_dc2022_COBREX_330154,2015-06-01T05:54:21.36,2015-06-01T05:19:12.13,2015-06-01T06:29:29.42,DB_H23,B_H,1.24,1.1,2.48,56.6642,0.4084,1.1034,0.599,1.15,1.07,1.01,1.0,,,,1.2479,,,0.0011,,,1.109,1.0,0.6965,0.8289,0.334,5.913,6.02,7.9,6.912,64,64,-33.9258,2022-06-16_16-27-07,0,train,0.0,interactive,,0.04,1,0,1.2479,1.109,0.6338,0,0.8,-1,-1,38.0
109,HD_164249__2016-04-17__09-37-17,HD_164249,HIP_88399,,HIP_88399,,TYC_8369-1619-1,SAO_245201,HIP 88399_DB_H23_2016-04-16_ird_convert_recenter_dc2022_COBREX_330191,2016-04-17T09:37:17.70,2016-04-17T09:00:45.60,2016-04-17T10:21:53.47,DB_H23,B_H,1.72,1.5,13.73,49.2264,0.6221,2.2144,0.9589,1.43,1.32,1.24,1.0,1.5388,0.8213,1.7612,,0.0014,0.0023,,1.4418,2.3445,,2.0,0.6194,0.7339,0.3544,5.913,6.02,7.9,6.912,61,61,-37.2858,2022-06-16_16-58-16,0,test,0.0,interactive,,0.03,0,0,1.7612,1.4418,0.5737,1,0.7539,0,0,42.0
110,HD_164249__2018-04-11__09-42-29,HD_164249,HIP_88399,,HIP_88399,,TYC_8369-1619-1,SAO_245201,HD 164249A_DB_H23_2018-04-10_ird_convert_recenter_dc2022_COBREX_waffles_only_330664,2018-04-11T09:42:29.44,2018-04-11T09:09:08.49,2018-04-11T10:15:47.30,DB_H23,B_H,0.52,5.6,7.75,31.0317,0.2284,0.4454,0.292,0.85,0.79,0.73,1.0,0.5153,0.2731,0.483,,0.0056,0.0075,,5.5892,7.513,,5.5,0.9749,0.9802,0.9607,5.913,6.02,7.9,6.912,40,40,-31.9463,2022-06-17_18-23-52,0,test,0.0,interactive,,0.04,0,2,0.483,5.5892,0.9016,2,0.9034,2,2,39.0
111,HD_168210__2016-06-14__05-47-41,HD_168210,HIP_89829,,HIP_89829,,TYC_6856-1956-1,SAO_186657,HIP 89829_DB_H23_2016-06-13_ird_convert_recenter_dc2022_COBREX_332732,2016-06-14T05:47:41.28,2016-06-14T04:55:13.39,2016-06-14T06:40:09.16,DB_H23,B_H,2.1,1.3,14.85,40.7439,-1.0,-1.0,-1.0,1.46,1.44,8.68,1.4,1.8111,0.7701,1.9933,,0.0013,0.0034,,1.3148,3.3552,,1.3,-1.0,-1.0,-1.0,7.053,7.198,8.505,8.6711,96,96,-138.8351,2022-06-25_03-57-32,0,,2.0,too many sources --> out,,0.04,0,0,1.9933,1.3148,0.3359,0,0.6604,0,0,58.0
112,HD_168210__2017-06-03__05-47-51,HD_168210,HIP_89829,,HIP_89829,,TYC_6856-1956-1,SAO_186657,HIP 89829_DB_H23_2017-06-02_ird_convert_recenter_dc2022_COBREX_waffles_only_332069,2017-06-03T05:47:51.90,2017-06-03T05:03:49.99,2017-06-03T06:31:29.26,DB_H23,B_H,0.44,5.8,6.22,40.1198,0.1953,0.8136,0.3048,0.7,0.7,0.63,1.0,0.4977,0.2715,0.4404,,0.0061,0.0071,,6.1404,7.0702,,5.0,0.7721,0.819,0.6234,7.053,7.198,8.505,8.6711,74,74,-115.4318,2022-06-24_22-32-35,0,calib,2.0,too many sources --> out,,0.05,0,2,0.4404,6.1404,0.8889,2,0.9162,2,2,73.0
113,HD_16978__2015-10-01__06-39-32,HD_16978,HIP_12394,,HIP_12394,HR_806,TYC_9144-1686-1,SAO_248621,HIP 12394_DB_H23_2015-09-30_ird_convert_recenter_dc2022_COBREX_335378,2015-10-01T06:39:32.83,2015-10-01T05:52:03.91,2015-10-01T07:37:37.59,DB_H23,B_H,1.06,1.3,2.28,55.3313,0.3625,1.3174,0.595,1.34,1.1,0.99,1.0,,,,1.1223,,,0.0013,,,1.2584,1.4,0.7652,0.8753,0.322,4.254,4.433,,4.1123,608,608,-34.6156,2022-06-25_20-06-30,0,train,0.0,interactive,,0.04,1,0,1.1223,1.2584,0.7121,0,0.8847,-1,-1,350.0
114,HD_16978__2016-09-16__07-30-31,HD_16978,HIP_12394,,HIP_12394,HR_806,TYC_9144-1686-1,SAO_248621,HIP 12394_DB_H23_2016-09-15_ird_convert_recenter_dc2022_COBREX_332851,2016-09-16T07:30:31.94,2016-09-16T06:46:06.60,2016-09-16T08:15:00.69,DB_H23,B_H,0.42,9.2,7.65,16.4862,-1.0,-1.0,-1.0,1.19,0.97,0.88,1.0,0.4767,0.2581,0.4237,,0.0089,0.0193,,8.9182,19.315,,8.4,-1.0,-1.0,-1.0,4.254,4.433,,4.1123,160,160,-29.0598,2022-06-25_04-44-46,0,val,0.0,interactive,,0.03,0,2,0.4237,8.9182,0.9577,2,0.9802,2,2,159.0
